2874904,Michael G. Akritas
10441735,Neil A. Butler
4147321,Richard M. Royall
144532254,Calyampudi R. Rao
1725893,Murad S. Taqqu
2949932,Rasmus Waagepetersen
144288531,J. N. K. Rao
1754887,Anatoli B. Juditsky
2352281,Philippe Rigollet
2667773,Alexandre B. Tsybakov
39449556,JinTing Zhang
47976263,Frederick Mosteller
39367091,Wenxin Jiang
2019738,Per Aslak Mykland
34068805,John W. Pratt
35288660,Guangming Pan
2491165,Geert Molenberghs
3660136,John D. Kalbfleisch
2878717,Ciprian M. Crainiceanu
144576019,AnaMaria Staicu
48100351,ChongZhi Di
3211143,X. Jessie Jeng
49282956,Tengfei Cai
2814908,Hongzhe Li
144750484,Kathryn Roeder
46510656,Cong Han
9894852,Bradley P. Carlin
114357808,Eduard Belitser
2291789,Subhashis Ghosal
2204469,Ali Shojaie
13543678,David A. Harville
145852705,Oliver Linton
145230382,Zudi Lu
49432033,Patricia A. Moran
1809121,Lutz Dmbgen
2710135,Anthony Y. C. Kuk
66556705,Aa.
46918097,Alan Roy Stuart
3180920,Keith Ord
36848025,Daniel O Scharfstein
3044550,Hans R. Knsch
1913588,Leonard A. Stefanski
34101041,Raymond J. Carroll
2488720,Nathaniel Schenker
13277384,Alan Welsh
34574461,Douglas A. Wolfe
2008035,Winfried Stute
1985263,Jianhua Z. Huang
145398965,Harry Joe
2711388,Piotr Kokoszka
2360319,Martin T. Wells
2141647,Karl Rohe
89127357,Alexandre B. Tsybakov
50688699,Hua Yun Chen
69577099,Theodore W. Anderson
145449380,Steven N. MacEachern
143617138,Johan Segers
3033525,Mark J. van der Laan
1989673,YiChing Yao
143971171,Peter A. Hall
28582490,Egon S. Pearson
1863924,Stephane Heritier
2567806,Elvezio Ronchetti
2550392,Bradley Efron
1742426,George Michailidis
47023604,Xuming He
4363482,Robert L. Strawderman
144328326,HansGeorg Mller
5060808,Kongming Wang
50415833,Theo Gasser
50578720,Graeme K. Robinson
145024674,R. J. Beran
2679857,Peter Green
1789565,Bani K. Mallick
48064586,Lijian Yang
47711739,John N. Darroch
4769556,Odd O Aalen
4114071,C. F. Jeff Wu
1733999,Larry A. Wasserman
3298290,Clifford H. Spiegelman
145930386,QiMan Shao
4464141,MingHui Chen
143851593,Joseph G. Ibrahim
3259959,Joseph B. Kadane
1406409112,Anthony OHagan
144080903,Andrew Harvey
144098326,Chris Hans
6622521,Joseph Berkson
100532061,Yaacov Ritov
1678771,Peter J. Bickel
2828170,Paul J. Rathouz
144755914,Alan H. Welsh
47122150,Kjell A. Doksum
52024479,Bruce Marvin Hill
31674513,Douglas G. Simpson
33913193,Xuming He
1804386,Adrian E. Raftery
38555936,David B. Dahl
48107722,M. A. Newton
144612575,J. P. Imhof
144180010,Susan A. Murphy
25624716,Arash A. Amini
39602222,Aiyou Chen
143808488,Elizaveta Levina
47904387,Yi Lin
1787278,Hao Helen Zhang
1943223,Anthony C. Atkinson
50389176,SheanTsong Chiu
2266946,Xiaotong Shen
1721891,Jianming Ye
145709788,Sylvia Richardson
152558943,Peter Green
2822745,Stephen G. Walker
65895980,Paul Damien
21779757,Peter J. Lenk
2424930,Hyokyoung Grace Hong
1957528,Peter Guttorp
8617353,Regina Y. Liu
3388055,Kesar Singh
153063654,Dag Tjstheim
2818830,Marcello Pagano
1699193,Daniel F. Heitjan
1422296758,Henrik RamlauHansen
143923878,Michael LeBlanc
145649920,John Crowley
2448330,Jean Jacod
40692782,M. G. Kendall
1742419,D. M. Titterington
40244741,Wayne A. Fuller
41207141,Donald Alexander Fraser
2429347,Anthony Ledford
2153469,Jonathan A. Tawn
1882553,Thomas R. Fleming
143628300,H. O. Hartley
70311601,Emil Spjtvoll
2610426,Kani Chen
143863063,S.H. Lo
1778814,Thomas P. Hettmansperger
1679751,John Neuhaus
10091739,Nicholas Patrick Jewell
13800522,Lan Zhang
2071535,Paul H. Garthwaite
2364792,Iain M. Johnstone
145323121,John A. Nelder
50589423,L Wei
46842850,Toby J. Mitchell
6538742,Kung Yee Liang
2881229,Scott Zeger
2423230,Leo Breiman
3056361,Jerome H. Friedman
145310500,A. S. Hedayat
145948621,George E. P. Box
40416145,Song Xi Chen
144958605,Jianqing Fan
143848358,G. E. P. Box
3432876,Thomas A. Severini
47141399,Michael J. Daniels
1840562,Robert E. Kass
144537223,David Lindley
3808042,Sren Ulrik Johansen
88350867,Carla Inclan
36184409,George C. Tiao
144883945,P. Qiu
3396021,Bruce W. Turnbull
52545658,K Bandeenroche
3301280,Diana L. Miglioretti
2292156,Paolo Vidoni
1709741,Brani Vidakovic
3277582,Stephen M. Stigler
32868036,Huixia Judy Wang
2734333,Marianna Pensky
2514303,Theofanis Sapatinas
144402257,Robert Kohn
70982312,Craig F. Ansley
1811787,Mendel Fygenson
102330532,Larry Wasserman
18478271,Bruce G. Lindsay
47166531,Guido W. Imbens
90661057,Louis Gordon
1918593,Cyrus R. Mehta
144845491,A. Philip Dawid
2875133,Yanyuan Ma
1877479,Marc G. Genton
2458765,Anastasios A. Tsiatis
46845456,Myles Hollander
144108246,David Ruppert
145956495,J. S. Marron
49225604,Garrett M. Fitzmaurice
7890796,Nan M. Laird
3085250,James P. Hobert
49423392,Robin L. Plackett
4824776,Thomas J. DiCiccio
2152560,Joseph P. Romano
2508221,Aad van der Vaart
34365478,Zhiliang Ying
2219583,Gaorong Li
144245987,Heng Peng
14352581,Jun Zhang
4452401,Lixing Zhu
5054589,Kathryn Chaloner
66479429,R. M. Loynes
143862235,Huazhen Lin
49455540,Yong Zhou
2271618,Tianxi Cai
2102128,Gerda Claeskens
35141525,Nils Lid Hjort
3162421,Murali Haran
145947080,Jing Qin
2796350,Persi Diaconis
49234649,H. D. Patterson
1920167,Hannu Oja
1746891,Rainer Dahlhaus
2080509,Wolfgang Wefelmeyer
2531020,Holger Dette
40282078,Suhasini Subba Rao
46399637,Yufeng Liu
35324548,Finn Lindgren
144021304,Harrison H. Zhou
2319685,Francesca Dominici
9619706,Giovanni Parmigiani
144244963,Art B. Owen
152736804,Michael Smith
2253245,Simon J. Sheather
32958898,Paul R. Rosenbaum
3227746,Havard Rue
1901917,James H. Stock
32082672,Mark W. Watson
46660083,Lie Wang
2008384,Lawrence D. Brown
145028134,T. Tony Cai
145131380,M. Levine
3013323,Johannes Ledolter
39941677,Trevor J. Sweeting
1398951619,Ole E. BarndorffNielsen
69566971,Ralph Allan Bradley
1960946,Hugh A. Chipman
2347035,Edward I. George
2840298,Robert E. McCulloch
2982242,Jens Perch Nielsen
31723646,Joel L. Horowitz
2777059,Frank Critchley
36032905,Ronald W. Butler
47188209,Enno Mammen
32643219,Byeong Uk Park
144959271,J. A. Hartigan
145936819,Rahul Mukerjee
3441762,Boxin Tang
1683677,Dennis D. Boos
40348704,Yingying Fan
35118626,Jinchi Lv
25847574,Wei Biao Wu
2839900,Helmut Finner
47935258,John Robinson
33550608,Margaret Sullivan Pepe
144593775,Rong Chen
145155783,Christian P. Robert
2097256,XiaoLi Meng
31987667,Jeffrey S. Rosenthal
48584883,Merrilee Hurn
144676022,Peter McCullagh
49630843,Christophe Andrieu
143888101,Arnaud Doucet
2265630,Petros Dellaportas
1684961,Stephen E. Fienberg
145179124,I. J. Good
1398204711,Christine M. AndersonCook
144085136,Michael Woodroofe
144327830,David Roxbee Cox
144021493,Lu Tian
39775017,David B. Dunson
21801845,Juliet Popper Shaffer
2567800,Daniel Q. Naiman
33052991,G. Casella
66946758,Jiunn Tzon Hwang
32387631,Kanti V. Mardia
145524610,Lawrence D. Brown
143802728,R. Dennis Cook
144456647,R. B. Davies
143763196,Tim Robertson
144600538,F. T. Wright
40439165,Lancelot F. James
145382036,Roderick J. A. Little
2664086,Jeremy E. Oakley
20640005,Morris L. Eaton
2309208,David E. Tyler
39201543,James O. Berger
2235217,Donald B. Rubin
2814713,Dipak K. Dey
16243226,Sanford Weisberg
144958602,Jianqing Fan
69887967,Gregory C. Reinsel
48677012,Sinho Jung
2735098,Eugenio Regazzini
144087767,Feng Liang
144411387,Rui Paulo
144762972,Germn Molina
3028496,Merlise A. Clyde
145607066,James M. Robins
2738017,Ulrich Stadtmller
90309603,Holger Dette
47537846,Bradley Efron
3615612,Mary C. Meyer
50333716,Donald B. Rubin
2198670,Axel Munk
49236333,JengMin Chiou
144898907,George Casella
89161743,D. N. Lawley
3010344,David Siegmund
2820649,Dorota M. Dabrowska
144171839,Ming Yuan
46394442,Y. J. Lin
2040241,James Harold Ware
103142500,Pl Laurie Davies
1927235,Arne Kovac
3280236,Hongtu Zhu
32507567,Peter E. Jupp
102691553,Don Ylvisaker
27317704,Mark G. Low
3093607,Linda Zhao
1751657,Douglas W. Nychka
3027365,Daryl Pregibon
33361123,Vincent J. Carey
49243178,KerChau Li
145516664,James G. Scott
153677195,Gary L Rosner
2083672,Hlne Massam
101062394,Robb J. Muirhead
2636336,W. J. Studden
2448110,Elisabeth Gassiat
1786884,Boaz Nadler
144958606,Jianqing Fan
3050116,Yunbei Ma
47653069,Wei Dai
3322724,Dylan S. Small
50463772,Yongtao Guan
47104126,Michael T. Sherman
1694701,Bala Rajaratnam
144361840,Xihong Lin
1771912,CunHui Zhang
47856259,M. B. Wilk
47401260,Michael Lavine
121074962,Ross L. Prentice
31727329,Carl N. Morris
144288528,J. N. K. Rao
1818876,Herbert K. H. Lee
48897539,Peter J. Huber
5770189,Samuel C. Kou
2783800,William E. Strawderman
23112567,Simon N. Wood
49935026,Wenguang Sun
97752732,David V. Hinkley
2266267,Shahar Mendelson
3350586,Piotr Fryzlewicz
2434842,Catherine A. Sugar
144026427,Gareth James
39458202,Michal Kulich
48926523,Danyu Lin
1699915,Donald A. Pierce
1784682,Trevor J. Hastie
69431201,Andreas Buja
1761784,Robert Tibshirani
2230454,Dimitris Nicolas Politis
30385000,Anthony Rossini
3266660,Andrew L. Rukhin
2891890,JaneLing Wang
144752886,Ronald Christensen
71398959,Charles J. Stone
2746221,Steen A. Andersson
2830733,Michael D. Perlman
29380704,Jun S. Liu
41225673,L J Wei
49231821,Probal Chaudhuri
143897343,David Oakes
2818025,Tze Leung Lai
144908672,Andrew T. A. Wood
145355644,S. A. Padoan
1933453,Mathieu Ribatet
144540527,Scott Anthony Sisson
143922900,Hua Liang
144882425,David M. Mason
1812881,Runze Li
144630991,Thomas H. Scheike
1886238,Brian Caffo
103058452,John H. J. Einmahl
48823261,D. D. Ben Dayan Rubin
1738371,Robert Serfling
5107647,T. Tony Cai
2202986,Weidong Liu
4999927,Jichun Xie
3297398,Cristiano Varin
144927839,ChiungYu Huang
41330015,Shiqing Ling
39741917,Wai Keung Li
143698811,Arthur Cohen
1724677,Yichao Wu
32352062,Chris C. Heyde
5521552,Robert J. Simes
144103892,Valen E. Johnson
2741460,Hemant Ishwaran
2328919,KamWah Tsui
2963587,Wolfgang Polonik
2047310,Dongchu Sun
2152863,Paul L. Speckman
143689788,David Pollard
143862296,John A. Rice
144420921,Murray Rosenblatt
145799016,Abel Rodrguez
2454055,Alan E. Gelfand
2001792,Wesley O. Johnson
1748107,Steven N. MacEachern
153340899,John Aitchison
144532256,C. Radhakrishna Rao
46789170,Ross L. Prentice
3074076,Joseph L. Gastwirth
145791897,G. Alastair Young
145305666,M. Asgharian
39402307,David B. Wolfson
145941053,Hari Mukerjee
3073838,Xiaofeng Shao
34935168,M. A. Stephens
32735081,Estate V. Khmaladze
3130053,Hira L. Koul
39719914,David R. Cox
2067653,Ludwig Fahrmeir
2477489,Luc Devroye
1755694,Gbor Lugosi
35216623,Tapabrata Maiti
39265460,Hongquan Xu
145196107,Arup Bose
100990729,Paul Speckman
3269958,Abba M. Krieger
3378612,Benjamin Yakir
3264000,Gareth O. Roberts
144278037,Ewan S. Page
2015030,Wolfgang K. Hrdle
32360997,Ruey S. Tsay
32092469,Ngai Hang Chan
34584410,Andrew V. Carter
100667744,Ricardo Fraiman
144581339,Marc C. Kennedy
1400974620,Anthony OHagan
89519679,Jan Hannig
2025201,Jason Peter Fine
2903915,Francisco J. Samaniego
1733170,Jelle J. Goeman
8524463,Hans C. van Houwelingen
144336939,Deborah Nolan
40178840,Michael L. Stein
3140471,Zhiyi Chi
48780984,Leah J. Welty
101062619,Victor J. Yohai
1888694,K. Ruben Gabriel
88941006,Sara A. van de Geer
47796701,Yuhong Yang
145155782,Christian P. Robert
2305401,James R. Schott
2797628,Christian Genest
48566708,Geoffrey Watson
40007636,Weijing Wang
2979546,Randy R. Sitter
34582717,Changbao Wu
145031370,Anton Schick
144037176,Norman L. Johnson
3184408,Nanny Wermuth
3227161,Jrgen Kiefer
144282470,Wei Pan
48300152,Ross L. Prentice
1730560,Alessandro Rinaldo
13175910,Clive R. Loader
2809313,W. Michael Hendricks
8923238,Roger Koenker
50495200,Chris J. Wild
50275561,Neil G. Shephard
1977240,Ruben H. Zamar
1830895,Robert L. Winkler
2613603,Jana Jureckov
103556459,Charles J. Stone
3034851,Mark H. Hansen
145880371,Charles L. Kooperberg
1891786,Young Truong
2262508,Jeffrey S. Simonoff
80577994,Ching Yun Wang
144145050,Stephen Portnoy
144004824,A. Delaigle
50601403,Peter F. Hall
144681380,Marc Aerts
38305760,Alexander Meister
39858929,John J. Beauchamp
34262429,Feifang Hu
35173031,Dale L. Zimmerman
48343674,David A. Harville
50874801,Edward I. George
2488952,David Alan Schoenfeld
48958450,Mei Cheng Wang
98377133,Marvin Zelen
145028132,T. Tony Cai
2869087,Charles E McCulloch
144022722,Stuart Coles
145661422,Jianwen Cai
3249921,Jiancheng Jiang
69499807,George R. Terrell
3447150,Ramon C. Littell
40528386,BingYi Jing
145785254,Peter J Diggle
48335463,Biao Zhang
49289914,Yin Xia
83495512,Rupert G. Miller
2861963,Joachim Kunert
143741626,Ping Zhong
2261249,ChihLing Tsai
145737605,Samuel Karlin
2748598,Solomon Kullback
1731053,Pranab Kumar Sen
145785165,Jun Shao
46221643,Hidehiko Ichimura
144543493,Donald A. Berry
1865076,Jeffrey H. Silber
2085638,Nicholas G. Polson
145434743,Jesse Windle
144932570,Wing Hung Wong
33836881,Peter D. Hoff
6087377,John J. Gart
1780869,Yuhong Yang
143802727,R. Dennis Cook
2095840,Alan M Zaslavsky
1695415,Ingrid Van Keilegom
93477376,Thomas P. Hettmansperger
144952368,Jon A. Wellner
145637531,Daniel Barry
2447668,Minge Xie
46193671,ChingShui Cheng
26957985,Peter H. Westfall
50763339,Jiahua Chen
2284686,Victor DeGruttola
2817272,Alan Agresti
145564815,Dominique Haughton
34616086,John E. Kolassa
32854168,David A. Freedman
48719966,Persi Diaconis
6856265,Norman E. Breslow
38092353,Kevin C. Cain
103073487,H. Desimone
48393332,Noel A Cressie
3078930,V. Susarla
2814156,John Van Ryzin
46231451,Clifford C. Clogg
1794435,Andrew B. Nobel
49461254,Cari G. Kaufman
49919436,B. L. Welch
145092945,Zhidong Bai
7721316,William F. Eddy
47001564,Yimei Li
144482122,Weili Lin
143618990,Bo Henry Lindqvist
145943396,Jeffrey S. Morris
143956777,Naisyin Wang
2416989,Joanne R. Lupton
145153845,Irne Gijbels
2182960,Russell V. Lenth
1959689,Yuchung J. Wang
144534010,JensPeter Kreiss
73429873,Efstathios Paparoditis
144947807,Philip J. Brown
9379477,Marina Vannucci
2560333,Tom Fearn
3371359,Richard L. Tweedie
144415243,Keith Knight
3081438,Randall Eubank
24800212,Margaret Sullivan Pepe
145761702,Matthew Stephens
2447157,Robert V. Foutz
144324293,Herbert T. Davis
72814570,Siem Jan Koopman
153636609,Istvan Berkes
145420186,Lajos Horvth
145807681,Michael G Hudgens
4677813,Kosuke Imai
31781461,Martin A. Tanner
2587578,Zhongyi Zhu
144681483,Peter M. Robinson
144031526,Donald R. Fraser
2184019,F. Jay Breidt
144846565,Jonathan E. Taylor
3011050,LouisPaul Rivest
2513353,Siem Jan Koopman
143676590,Malay Ghosh
28691985,Milton Sobel
145605141,Michael L. Stein
1920126,Victor J. Yohai
117269529,Steven Scott
101759977,Andrey Feuerverger
2637505,Dennis D. Cox
10721457,Ramanathan Gnanadesikan
145099512,Mark J. van der Laan
144720506,Mark F. J. Steel
4594844,Liqiang Ni
2242562,Roy E. Welsch
48861660,Hui Zou
40340102,Yingcun Xia
1982242,Vladimir Spokoiny
1696766,Muni S. Srivastava
40046402,Lawrence Brown
5396821,Galin L. Jones
89684937,Ronald C. Neath
1967384,Sidney J. Yakowitz
26061515,Yazhen Wang
69410608,E. B. Fowlkes
145178938,Natesh S. Pillai
102539957,WeiLiem Loh
66305115,David Roxbee Cox
1709392,David L. Donoho
152939360,Anirban Krishna Bhattacharya
35087983,Debdeep Pati
48203421,Jianqing Fan
90616510,David J. Strauss
2398627,Daniel Yekutieli
1960766,Steven G. Self
48455749,James M. Dickey
144630568,Paolo Giudici
144261879,R. Gray
144114092,M. Elizabeth Halloran
27406063,Bing Dong Li
39867082,Leo A. Goodman
2069286,Thomas A. Louis
143971172,Peter Hall
145053578,Lan Zhou
145336318,Josue G. Martinez
5387234,Arnab Maity
48613611,Veerabhadran Baladandayuthapani
36717818,Anthony C. Davison
70058259,Hira L. Koul
14942773,Mervyn Stone
70359473,James M. Dickey
144532701,Harvey Goldstein
46345617,David W. Scott
49799336,Martin Schlather
143973912,P. de Zaandam Jong
2042141,Alois Kneip
144921860,J. O. Ramsay
145909635,Nancy E. Heckman
50467915,Matt P. Wand
143983354,Richard Arnold Davis
1756670,Randal Douc
48139965,ric Moulines
46390017,Patricia M. Grambsch
3149653,Terry M. Therneau
3160324,Brunero Liseo
39210164,Cheng Yong Tang
35157864,William S. Cleveland
5578803,Paul W. Holland
15959844,Samuel Leinhardt
2575622,Sudipto Banerjee
144622349,Ruth Heller
2709920,Ingrid K. Glad
49642270,Anne Chao
1403906834,Christine JennenSteinmetz
3168585,Zhezhen Jin
49969052,Michael A. West
145766926,Sebastian Kurtek
39455159,John D. Kalbfleisch
3026286,Antonio Lijoi
144991580,Jayanta K. Ghosh
47210022,Ben B. Hansen
3623267,Arnold Zellner
40159987,Norman R. Draper
1806708,JaYong Koo
34387941,Jiayang Sun
2179313,Xiangrong Yin
1853215,Kengo Kato
2531231,Claudia Czado
145810704,Donglin Zeng
2638770,Berwin A. Turlach
144845489,A. Philip Dawid
3114532,Daniel Gervini
144258186,Nilanjan Chatterjee
52107125,Donald Ylvisaker
1897640,Hernando Ombao
32407682,Matt Taddy
5071371,Jim Albert
49885657,Paul R. Rosenbaum
30029346,Marc Hallin
52121655,Bas J. M. Werker
143802725,R. Dennis Cook
143848301,M. C. Jones
2560724,Michael R. Kosorok
143953625,Kenneth Lange
1941834,Nicolai Meinshausen
143862305,John Rice
145736253,Vladimir Spokoiny
1886383,Mohsen Pourahmadi
39464084,Henry E. Daniels
2313661,Eric Moulines
39394905,R. Douglas Martin
5162221,Ilaria Dimatteo
2264370,Christopher R. Genovese
4710675,Shelby J. Haberman
7135376,Ryan J. Tibshirani
2142709,Jonathan D. Taylor
3246901,Paul Fearnhead
2660689,Omiros Papaspiliopoulos
144418194,Marc Hoffmann
1844642,Zongming Ma
1746680,Yihong Wu
39278675,Alessandra Guglielmi
144389145,Andrew Gelman
122657211,Carlos M. Carvalho
2611218,Laura M. Sangalli
153871530,Timothy Ramsay
1784986,Vladimir Koltchinskii
2461412,Gran Kauermann
152235246,Peter Buhlmann
36130539,Jim E. Griffin
2119158,Christopher K. Wikle
145430701,Judea Pearl
2283295,Ronald H. Randles
30454224,Changbao Wu
35215721,Rainer von Sachs
2518560,Faming Liang
22702756,Noureddine El Karoui
47703194,Weiyann Tsai
15918026,Jeffrey D. Hart
1680202,Frank Bretz
49520821,Jeffry R. Cook
50310678,Leonard A. Stefanski
145733439,Grace Wahba
2240721,Andrea Rotnitzky
145825806,Peter Bhlmann
3176417,Alfonso Gordaliza
103225382,Janet M. Begun
66603255,William Jackson Hall
49015891,Weimin Huang
46759683,Albert Y. Lo
3026075,Alexandre Belloni
26331346,Victor Chernozhukov
34961878,Qiwei Yao
2378652,Richard A. Olshen
35423108,L. Mark Berliner
47707569,Lothar Sroka
1965528,Richard D. Gill
3054763,Alexandros Beskos
2829946,Genshiro Kitagawa
145021140,Peter Hall
1891766,JingHao Xue
3179471,David M. Zucker
32807000,Ingram Olkin
2206362,Chuanhai Liu
39092098,Ying Nian Wu
52451583,Maria J. Bayarri
145346320,Dean P. Foster
49406642,David R. Hunter
47944547,Paul Whittle
2130768,Mark J. Schervish
2085276,Alexander Balke
71547266,J. N. K. Rao
52241882,Oleg V. Lepski
144928357,Yehuda Vardi
2108020,Larry A. Shepp
10706913,Linda Kaufman
1722019,Bodhisattva Sen
114473364,HansGeorg Muller
49610123,Louise Ryan
2905095,Douglas P. Wiens
144505108,Zhi Jie Geng
3209384,Grace Y. Yi
3005204,Changliang Zou
145924374,L. Birge
34533426,Ruoqing Zhu
145676694,Mitchell H. Gail
144837117,Jeremy m. G. Taylor
144114908,Sally Wood
50006480,Yuan Ji
145943397,Jeffrey S. Morris
143634582,Stefanie Biedermann
2705145,Claudia Tebaldi
49721822,David Siegmund
90466281,Danyu Lin
20471527,Tailen Hsing
2180185,Adelchi Azzalini
144350237,Jerome Sacks
2196654,Tengyao Wang
89968970,Richard J. Samworth
144530599,Gauri S. Datta
145993129,Daniel Pea
35169560,Jerald F. Lawless
50695098,Suojin Wang
3447771,Brett Presnell
2225350,Sandrine Dudoit
2711125,Jane Fridlyand
